run,time,url,error
2022-02-26T15:21:11.457890,2022-02-26T15:22:45.808244,http://donoda.gov.ua,"HTTPConnectionPool(host='donoda.gov.ua', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7ff37caacfd0>, 'Connection to donoda.gov.ua timed out. (connect timeout=30)'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:11.772763,http://www.armyansk-rada.gov.ua,"HTTPConnectionPool(host='www.armyansk-rada.gov.ua', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff37caaba00>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:13.706719,http://www.borovarda.gov.ua,"HTTPConnectionPool(host='www.borovarda.gov.ua', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff37caaba90>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:43.742184,http://www.donoda.gov.ua,"HTTPConnectionPool(host='www.donoda.gov.ua', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7ff37caabb80>, 'Connection to www.donoda.gov.ua timed out. (connect timeout=30)'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:21.826374,http://makrada.gov.ua,"HTTPConnectionPool(host='makrada.gov.ua', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff37caabaf0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:32.980551,https://www.adm-baryshivka.gov.ua,"HTTPSConnectionPool(host='www.adm-baryshivka.gov.ua', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7ff37cb1fd90>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
2022-02-26T15:21:11.457890,2022-02-26T15:22:02.999206,http://avv.gov.ua,"HTTPConnectionPool(host='avv.gov.ua', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7ff37cad6f10>, 'Connection to avv.gov.ua timed out. (connect timeout=30)'))"
2022-02-26T15:21:11.457890,2022-02-26T15:22:33.426270,http://www.baturin-capital.gov.ua,"HTTPSConnectionPool(host='baturin-capital.gov.ua', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(""bad handshake: Error([('SSL routines', 'tls_process_server_certificate', 'certificate verify failed')])"")))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:11.633887,http://archive.odessa.gov.ua,"HTTPConnectionPool(host='archive.odessa.gov.ua', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff37caabbe0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:17.994188,http://nkrr.gov.ua,"HTTPConnectionPool(host='nkrr.gov.ua', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff37caab520>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:49.222121,http://www.minjust.gov.ua,"HTTPConnectionPool(host='www.minjust.gov.ua', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7ff37caabca0>, 'Connection to www.minjust.gov.ua timed out. (connect timeout=30)'))"
